,ranking,,title,artist,rank_week,index
6293,94,,Rule The World,2 Chainz Featuring Ariana Grande,2019-03-16,Rule The World 2 Chainz Featuring Ariana Grande
6299,100,,Momma I Hit A Lick,2 Chainz Featuring Kendrick Lamar,2019-03-16,Momma I Hit A Lick 2 Chainz Featuring Kendrick Lamar
6274,75,,Whip,2 Chainz Featuring Travis Scott,2019-03-16,Whip 2 Chainz Featuring Travis Scott
1495,96,,Proud,2 Chainz Featuring YG & Offset,2018-04-14,Proud 2 Chainz Featuring YG & Offset
2552,53,,Bigger > You,"2 Chainz, Drake & Quavo",2018-06-30,"Bigger > You 2 Chainz, Drake & Quavo"
27,28,,Bank Account,21 Savage,2018-01-06,Bank Account 21 Savage
5236,37,,A Lot,21 Savage,2019-01-05,A Lot 21 Savage
5257,58,,Can't Leave Without It,21 Savage,2019-01-05,Can't Leave Without It 21 Savage
5266,67,,All My Friends,21 Savage,2019-01-05,All My Friends 21 Savage
5269,70,,Break Da Law,21 Savage,2019-01-05,Break Da Law 21 Savage
5272,73,,Monster,21 Savage,2019-01-05,Monster 21 Savage
5285,86,,1.5,21 Savage,2019-01-05,1.5 21 Savage
5287,88,,Out For The Night,21 Savage,2019-01-05,Out For The Night 21 Savage
5292,93,,Gun Smoke,21 Savage,2019-01-05,Gun Smoke 21 Savage
5294,95,,ASMR,21 Savage,2019-01-05,ASMR 21 Savage
960,61,,Want You Back,5 Seconds Of Summer,2018-03-10,Want You Back 5 Seconds Of Summer
2395,96,,Youngblood,5 Seconds Of Summer,2018-06-16,Youngblood 5 Seconds Of Summer
7447,48,,Easier,5 Seconds Of Summer,2019-06-08,Easier 5 Seconds Of Summer
14,15,,Gummo,6ix9ine,2018-01-06,Gummo 6ix9ine
66,67,,Kooda,6ix9ine,2018-01-06,Kooda 6ix9ine
959,60,,Billy,6ix9ine,2018-03-10,Billy 6ix9ine
1698,99,,Gotti,6ix9ine,2018-04-28,Gotti 6ix9ine
4870,71,,WAKA,6ix9ine Featuring A Boogie Wit da Hoodie,2018-12-08,WAKA 6ix9ine Featuring A Boogie Wit da Hoodie
3629,30,,BEBE,6ix9ine Featuring Anuel AA,2018-09-15,BEBE 6ix9ine Featuring Anuel AA
4124,25,,STOOPID,6ix9ine Featuring Bobby Shmurda,2018-10-20,STOOPID 6ix9ine Featuring Bobby Shmurda
2245,46,,TATI,6ix9ine Featuring DJ SPINKING,2018-06-09,TATI 6ix9ine Featuring DJ SPINKING
4861,62,,TIC TOC,6ix9ine Featuring Lil Baby,2018-12-08,TIC TOC 6ix9ine Featuring Lil Baby
4857,58,,MAMA,6ix9ine Featuring Nicki Minaj & Kanye West,2018-12-08,MAMA 6ix9ine Featuring Nicki Minaj & Kanye West
3003,4,,FEFE,6ix9ine Featuring Nicki Minaj & Murda Beatz,2018-08-04,FEFE 6ix9ine Featuring Nicki Minaj & Murda Beatz
4858,59,,KIKA,6ix9ine Featuring Tory Lanez,2018-12-08,KIKA 6ix9ine Featuring Tory Lanez
972,73,,RONDO,6ix9ine Featuring Tory Lanez & Young Thug,2018-03-10,RONDO 6ix9ine Featuring Tory Lanez & Young Thug
363,64,,KEKE,"6ix9ine, Fetty Wap & A Boogie Wit da Hoodie",2018-01-27,"KEKE 6ix9ine, Fetty Wap & A Boogie Wit da Hoodie"
3875,76,,Pretty Little Fears,6LACK Featuring J. Cole,2018-09-29,Pretty Little Fears 6LACK Featuring J. Cole
5094,95,,Look Back At It,A Boogie Wit da Hoodie,2018-12-22,Look Back At It A Boogie Wit da Hoodie
5256,57,,Swervin,A Boogie Wit da Hoodie Featuring 6ix9ine,2019-01-05,Swervin A Boogie Wit da Hoodie Featuring 6ix9ine
5293,94,,Demons And Angels,A Boogie Wit da Hoodie Featuring Juice WRLD,2019-01-05,Demons And Angels A Boogie Wit da Hoodie Featuring Juice WRLD
5264,65,,Startender,A Boogie Wit da Hoodie Featuring Offset & Tyga,2019-01-05,Startender A Boogie Wit da Hoodie Featuring Offset & Tyga
30,31,,Plain Jane,A$AP Ferg Featuring Nicki Minaj,2018-01-06,Plain Jane A$AP Ferg Featuring Nicki Minaj
1564,65,,A$AP Forever,A$AP Rocky Featuring Moby,2018-04-21,A$AP Forever A$AP Rocky Featuring Moby
2244,45,,Praise The Lord (Da Shine),A$AP Rocky Featuring Skepta,2018-06-09,Praise The Lord (Da Shine) A$AP Rocky Featuring Skepta
4799,100,,Burn The House Down,AJR,2018-12-01,Burn The House Down AJR
5578,79,,Let Me Down Slowly,Alec Benjamin Featuring Alessia Cara,2019-01-26,Let Me Down Slowly Alec Benjamin Featuring Alessia Cara
2798,99,,Growing Pains,Alessia Cara,2018-07-14,Growing Pains Alessia Cara
7796,97,,It's You,Ali Gatie,2019-06-29,It's You Ali Gatie
1399,100,,No Roots,Alice Merton,2018-04-07,No Roots Alice Merton
37,38,,It's The Most Wonderful Time Of The Year,Andy Williams,2018-01-06,It's The Most Wonderful Time Of The Year Andy Williams
5667,68,,Secreto,Anuel AA & Karol G,2019-02-02,Secreto Anuel AA & Karol G
4585,86,,Ella Quiere Beber,Anuel AA & Romeo Santos,2018-11-17,Ella Quiere Beber Anuel AA & Romeo Santos
1702,3,,No Tears Left To Cry,Ariana Grande,2018-05-05,No Tears Left To Cry Ariana Grande
2910,11,,God Is A Woman,Ariana Grande,2018-07-28,God Is A Woman Ariana Grande
3421,22,,Breathin,Ariana Grande,2018-09-01,Breathin Ariana Grande
3454,55,,Sweetener,Ariana Grande,2018-09-01,Sweetener Ariana Grande
3461,62,,Everytime,Ariana Grande,2018-09-01,Everytime Ariana Grande
3471,72,,R.E.M,Ariana Grande,2018-09-01,R.E.M Ariana Grande
3486,87,,Goodnight N Go,Ariana Grande,2018-09-01,Goodnight N Go Ariana Grande
3498,99,,Pete Davidson,Ariana Grande,2018-09-01,Pete Davidson Ariana Grande
4500,1,,"Thank U, Next",Ariana Grande,2018-11-17,"Thank U, Next Ariana Grande"
5123,24,,Imagine,Ariana Grande,2018-12-29,Imagine Ariana Grande
5600,1,,7 Rings,Ariana Grande,2019-02-02,7 Rings Ariana Grande
5901,2,,"Break Up With Your Girlfriend, I'm Bored",Ariana Grande,2019-02-23,"Break Up With Your Girlfriend, I'm Bored Ariana Grande"
5913,14,,Needy,Ariana Grande,2019-02-23,Needy Ariana Grande
5916,17,,NASA,Ariana Grande,2019-02-23,NASA Ariana Grande
5921,22,,Bloodline,Ariana Grande,2019-02-23,Bloodline Ariana Grande
5924,25,,Ghostin,Ariana Grande,2019-02-23,Ghostin Ariana Grande
5925,26,,Fake Smile,Ariana Grande,2019-02-23,Fake Smile Ariana Grande
5926,27,,Bad Idea,Ariana Grande,2019-02-23,Bad Idea Ariana Grande
5937,38,,In My Head,Ariana Grande,2019-02-23,In My Head Ariana Grande
5947,48,,Make Up,Ariana Grande,2019-02-23,Make Up Ariana Grande
6669,70,,Monopoly,Ariana Grande & Victoria Monet,2019-04-13,Monopoly Ariana Grande & Victoria Monet
2694,95,,The Light Is Coming,Ariana Grande Featuring Nicki Minaj,2018-07-07,The Light Is Coming Ariana Grande Featuring Nicki Minaj
5186,87,,Sweet But Psycho,Ava Max,2018-12-29,Sweet But Psycho Ava Max
6794,95,,Inmortal,Aventura,2019-04-20,Inmortal Aventura
1733,34,,Wake Me Up!,Avicii,2018-05-05,Wake Me Up! Avicii
7682,83,,Heaven,Avicii,2019-06-22,Heaven Avicii
6867,68,,SOS,Avicii Featuring Aloe Blacc,2019-04-27,SOS Avicii Featuring Aloe Blacc
3963,64,,Head Above Water,Avril Lavigne,2018-10-06,Head Above Water Avril Lavigne
2198,99,,Don't Go Breaking My Heart,Backstreet Boys,2018-06-02,Don't Go Breaking My Heart Backstreet Boys
5392,93,,Solo de Mi,Bad Bunny,2019-01-12,Solo de Mi Bad Bunny
7668,69,,Callaita,Bad Bunny & Tainy,2019-06-22,Callaita Bad Bunny & Tainy
4204,5,,MIA,Bad Bunny Featuring Drake,2018-10-27,MIA Bad Bunny Featuring Drake
1153,54,,Zombie,Bad Wolves,2018-03-24,Zombie Bad Wolves
455,56,,Mine,Bazzi,2018-02-03,Mine Bazzi
7197,98,,Paradise,Bazzi,2019-05-18,Paradise Bazzi
3259,60,,Beautiful,Bazzi Featuring Camila Cabello,2018-08-18,Beautiful Bazzi Featuring Camila Cabello
2991,92,,I'm A Mess,Bebe Rexha,2018-07-28,I'm A Mess Bebe Rexha
6597,98,,Last Hurrah,Bebe Rexha,2019-04-06,Last Hurrah Bebe Rexha
25,26,,Meant To Be,Bebe Rexha & Florida Georgia Line,2018-01-06,Meant To Be Bebe Rexha & Florida Georgia Line
2398,99,,Sin Pijama,Becky G + Natti Natasha,2018-06-16,Sin Pijama Becky G + Natti Natasha
90,91,,Mayores,Becky G Featuring Bad Bunny,2018-01-06,Mayores Becky G Featuring Bad Bunny
5394,95,,Roses,benny blanco & Juice WRLD Featuring Brendon Urie,2019-01-12,Roses benny blanco & Juice WRLD Featuring Brendon Urie
2955,56,,Eastside,"benny blanco, Halsey & Khalid",2018-07-28,"Eastside benny blanco, Halsey & Khalid"
6292,93,,I Can't Get Enough,"benny blanco, Tainy, Selena Gomez & J Balvin",2019-03-16,"I Can't Get Enough benny blanco, Tainy, Selena Gomez & J Balvin"
6974,75,,Before I Let Go,Beyonce,2019-05-04,Before I Let Go Beyonce
1979,80,,Gucci Flip Flops,Bhad Bhabie Featuring Lil Yachty,2018-05-19,Gucci Flip Flops Bhad Bhabie Featuring Lil Yachty
3092,93,,You Should See Me In A Crown,Billie Eilish,2018-08-04,You Should See Me In A Crown Billie Eilish
4364,65,,When The Party's Over,Billie Eilish,2018-11-03,When The Party's Over Billie Eilish
4796,97,,Ocean Eyes,Billie Eilish,2018-12-01,Ocean Eyes Billie Eilish
4868,69,,Come Out And Play,Billie Eilish,2018-12-08,Come Out And Play Billie Eilish
5399,100,,idontwannabeyouanymore,Billie Eilish,2019-01-12,idontwannabeyouanymore Billie Eilish
5773,74,,Bury A Friend,Billie Eilish,2019-02-09,Bury A Friend Billie Eilish
6273,74,,Wish You Were Gay,Billie Eilish,2019-03-16,Wish You Were Gay Billie Eilish
6606,7,,Bad Guy,Billie Eilish,2019-04-13,Bad Guy Billie Eilish
6634,35,,Xanny,Billie Eilish,2019-04-13,Xanny Billie Eilish
6642,43,,My Strange Addiction,Billie Eilish,2019-04-13,My Strange Addiction Billie Eilish
6645,46,,All The Good Girls Go To Hell,Billie Eilish,2019-04-13,All The Good Girls Go To Hell Billie Eilish
6652,53,,I Love You,Billie Eilish,2019-04-13,I Love You Billie Eilish
6661,62,,Ilomilo,Billie Eilish,2019-04-13,Ilomilo Billie Eilish
6662,63,,Listen Before I Go,Billie Eilish,2019-04-13,Listen Before I Go Billie Eilish
6678,79,,8,Billie Eilish,2019-04-13,8 Billie Eilish
2288,89,,Lovely,Billie Eilish & Khalid,2018-06-09,Lovely Billie Eilish & Khalid
5147,48,,White Christmas,Bing Crosby,2018-12-29,White Christmas Bing Crosby
980,81,,Booty,Blac Youngsta,2018-03-10,Booty Blac Youngsta
2554,55,,DDU-DU DDU-DU,BLACKPINK,2018-06-30,DDU-DU DDU-DU BLACKPINK
6740,41,,Kill This Love,BLACKPINK,2019-04-20,Kill This Love BLACKPINK
62,63,,I'll Name The Dogs,Blake Shelton,2018-01-06,I'll Name The Dogs Blake Shelton
1098,99,,I Lived It,Blake Shelton,2018-03-17,I Lived It Blake Shelton
6658,59,,God's Country,Blake Shelton,2019-04-13,God's Country Blake Shelton
7665,66,,The Git Up,Blanco Brown,2019-06-22,The Git Up Blanco Brown
705,6,,Look Alive,BlocBoy JB Featuring Drake,2018-02-24,Look Alive BlocBoy JB Featuring Drake
5574,75,,Thotiana,Blueface,2019-01-26,Thotiana Blueface
4832,33,,Jingle Bell Rock,Bobby Helms,2018-12-08,Jingle Bell Rock Bobby Helms
4192,93,,Maybe It's Time,Bradley Cooper,2018-10-20,Maybe It's Time Bradley Cooper
35,36,,Rockin' Around The Christmas Tree,Brenda Lee,2018-01-06,Rockin' Around The Christmas Tree Brenda Lee
692,93,,The Long Way,Brett Eldredge,2018-02-17,The Long Way Brett Eldredge
6992,93,,Love Someone,Brett Eldredge,2019-05-04,Love Someone Brett Eldredge
55,56,,Like I Loved You,Brett Young,2018-01-06,Like I Loved You Brett Young
1996,97,,Mercy,Brett Young,2018-05-19,Mercy Brett Young
5390,91,,Here Tonight,Brett Young,2019-01-12,Here Tonight Brett Young
36,37,,That's What I Like,Bruno Mars,2018-01-06,That's What I Like Bruno Mars
134,35,,Finesse,Bruno Mars & Cardi B,2018-01-13,Finesse Bruno Mars & Cardi B
3390,91,,Drew Barrymore,Bryce Vine,2018-08-25,Drew Barrymore Bryce Vine
7591,92,,La La Land,Bryce Vine Featuring YG,2019-06-15,La La Land Bryce Vine Featuring YG
2109,10,,Fake Love,BTS,2018-06-02,Fake Love BTS
6894,95,,Make It Right,BTS,2019-04-27,Make It Right BTS
81,82,,MIC Drop,BTS Featuring Desiigner,2018-01-06,MIC Drop BTS Featuring Desiigner
6807,8,,Boy With Luv,BTS Featuring Halsey,2019-04-27,Boy With Luv BTS Featuring Halsey
3510,11,,IDOL,BTS Featuring Nicki Minaj,2018-09-08,IDOL BTS Featuring Nicki Minaj
45,46,,A Holly Jolly Christmas,Burl Ives,2018-01-06,A Holly Jolly Christmas Burl Ives
5190,91,,Envy Me,Calboy,2018-12-29,Envy Me Calboy
1561,62,,One Kiss,Calvin Harris & Dua Lipa,2018-04-21,One Kiss Calvin Harris & Dua Lipa
3464,65,,Promises,Calvin Harris & Sam Smith,2018-09-01,Promises Calvin Harris & Sam Smith
170,71,,Never Be The Same,Camila Cabello,2018-01-13,Never Be The Same Camila Cabello
4596,97,,Consequences,Camila Cabello,2018-11-17,Consequences Camila Cabello
2,3,o,Havana,Camila Cabello Featuring Young Thug,2018-01-06,Havana Camila Cabello Featuring Young Thug
9,10,o,Bodak Yellow (Money Moves),Cardi B,2018-01-06,Bodak Yellow (Money Moves) Cardi B
1415,16,,Be Careful,Cardi B,2018-04-14,Be Careful Cardi B
1537,38,,Get Up 10,Cardi B,2018-04-21,Get Up 10 Cardi B
1542,43,,Bickenhead,Cardi B,2018-04-21,Bickenhead Cardi B
1549,50,,Thru Your Phone,Cardi B,2018-04-21,Thru Your Phone Cardi B
1557,58,,Money Bag,Cardi B,2018-04-21,Money Bag Cardi B
4353,54,,Money,Cardi B,2018-11-03,Money Cardi B
7515,16,,Press,Cardi B,2019-06-15,Press Cardi B
6004,5,,Please Me,Cardi B & Bruno Mars,2019-03-02,Please Me Cardi B & Bruno Mars
1556,57,,She Bad,Cardi B & YG,2018-04-21,She Bad Cardi B & YG
13,14,,Bartier Cardi,Cardi B Featuring 21 Savage,2018-01-06,Bartier Cardi Cardi B Featuring 21 Savage
1538,39,,Best Life,Cardi B Featuring Chance The Rapper,2018-04-21,Best Life Cardi B Featuring Chance The Rapper
1527,28,,Ring,Cardi B Featuring Kehlani,2018-04-21,Ring Cardi B Featuring Kehlani
1520,21,,Drip,Cardi B Featuring Migos,2018-04-21,Drip Cardi B Featuring Migos
1522,23,,I Do,Cardi B Featuring SZA,2018-04-21,I Do Cardi B Featuring SZA
1507,8,,I Like It,"Cardi B, Bad Bunny & J Balvin",2018-04-21,"I Like It Cardi B, Bad Bunny & J Balvin"
1647,48,,Cry Pretty,Carrie Underwood,2018-04-28,Cry Pretty Carrie Underwood
5382,83,,Love Wins,Carrie Underwood,2019-01-12,Love Wins Carrie Underwood
346,47,,The Champion,Carrie Underwood Featuring Ludacris,2018-01-27,The Champion Carrie Underwood Featuring Ludacris
1773,74,,Te Bote,"Casper Magico, Nio Garcia, Darell, Nicky Jam, Ozuna & Bad Bunny",2018-05-05,"Te Bote Casper Magico, Nio Garcia, Darell, Nicky Jam, Ozuna & Bad Bunny"
3059,60,,I Might Need Security,Chance The Rapper,2018-08-04,I Might Need Security Chance The Rapper
26,27,,How Long,Charlie Puth,2018-01-06,How Long Charlie Puth
38,39,,Attention,Charlie Puth,2018-01-06,Attention Charlie Puth
3586,87,,The Way I Am,Charlie Puth,2018-09-08,The Way I Am Charlie Puth
1973,74,,Done For Me,Charlie Puth Featuring Kehlani,2018-05-19,Done For Me Charlie Puth Featuring Kehlani
6083,84,,Eyes On You,Chase Rice,2019-03-02,Eyes On You Chase Rice
1900,1,,This Is America,Childish Gambino,2018-05-19,This Is America Childish Gambino
2943,44,,Summertime Magic,Childish Gambino,2018-07-28,Summertime Magic Childish Gambino
3653,54,,Feels Like Summer,Childish Gambino,2018-09-15,Feels Like Summer Childish Gambino
1095,96,,Tempo,Chris Brown,2018-03-17,Tempo Chris Brown
5434,35,,Undecided,Chris Brown,2019-01-19,Undecided Chris Brown
7608,9,,No Guidance,Chris Brown Featuring Drake,2019-06-22,No Guidance Chris Brown Featuring Drake
56,57,,Pills And Automobiles,"Chris Brown Featuring Yo Gotti, A Boogie Wit da Hoodie & Kodak Black",2018-01-06,"Pills And Automobiles Chris Brown Featuring Yo Gotti, A Boogie Wit da Hoodie & Kodak Black"
3585,86,,Drunk Girl,Chris Janson,2018-09-08,Drunk Girl Chris Janson
1491,92,,Take Back Home Girl,Chris Lane Featuring Tori Kelly,2018-04-14,Take Back Home Girl Chris Lane Featuring Tori Kelly
190,91,,Broken Halos,Chris Stapleton,2018-01-13,Broken Halos Chris Stapleton
4695,96,,Millionaire,Chris Stapleton,2018-11-24,Millionaire Chris Stapleton
75,76,,Losing Sleep,Chris Young,2018-01-06,Losing Sleep Chris Young
3696,97,,Hangin' On,Chris Young,2018-09-15,Hangin' On Chris Young
7596,97,,Raised On Country,Chris Young,2019-06-15,Raised On Country Chris Young
5244,45,,Run Rudolph Run,Chuck Berry,2019-01-05,Run Rudolph Run Chuck Berry
3076,77,,Level Up,Ciara,2018-08-04,Level Up Ciara
6276,77,,Act Up,City Girls,2019-03-16,Act Up City Girls
4791,92,,Twerk,City Girls Featuring Cardi B,2018-12-01,Twerk City Girls Featuring Cardi B
2696,97,,Solo,Clean Bandit Featuring Demi Lovato,2018-07-07,Solo Clean Bandit Featuring Demi Lovato
291,92,,I Miss You,Clean Bandit Featuring Julia Michaels,2018-01-20,I Miss You Clean Bandit Featuring Julia Michaels
5690,91,,On My Way To You,Cody Johnson,2019-02-02,On My Way To You Cody Johnson
997,98,,Break Up In The End,Cole Swindell,2018-03-10,Break Up In The End Cole Swindell
6686,87,,Suge,DaBaby,2019-04-13,Suge DaBaby
680,81,,Dura,Daddy Yankee,2018-02-17,Dura Daddy Yankee
5789,90,,Con Calma,Daddy Yankee & Katy Perry Featuring Snow,2019-02-09,Con Calma Daddy Yankee & Katy Perry Featuring Snow
383,84,,Tequila,Dan + Shay,2018-01-27,Tequila Dan + Shay
3794,95,,Speechless,Dan + Shay,2018-09-22,Speechless Dan + Shay
7195,96,,All To Myself,Dan + Shay,2019-05-18,All To Myself Dan + Shay
3080,81,,Best Part,Daniel Caesar Featuring H.E.R.,2018-08-04,Best Part Daniel Caesar Featuring H.E.R.
892,93,,Get You,Daniel Caesar Featuring Kali Uchis,2018-03-03,Get You Daniel Caesar Featuring Kali Uchis
1394,95,,For The First Time,Darius Rucker,2018-04-07,For The First Time Darius Rucker
5149,50,,Christmas (Baby Please Come Home),Darlene Love,2018-12-29,Christmas (Baby Please Come Home) Darlene Love
1794,95,,Everything's Gonna Be Alright,David Lee Murphy & Kenny Chesney,2018-05-05,Everything's Gonna Be Alright David Lee Murphy & Kenny Chesney
4493,94,,Be Alright,Dean Lewis,2018-11-10,Be Alright Dean Lewis
4940,41,,"Let It Snow, Let It Snow, Let It Snow",Dean Martin,2018-12-15,"Let It Snow, Let It Snow, Let It Snow Dean Martin"
19,20,,Sorry Not Sorry,Demi Lovato,2018-01-06,Sorry Not Sorry Demi Lovato
77,78,,Tell Me You Love Me,Demi Lovato,2018-01-06,Tell Me You Love Me Demi Lovato
2657,58,,Sober,Demi Lovato,2018-07-07,Sober Demi Lovato
3089,90,,Nevermind,Dennis Lloyd,2018-08-04,Nevermind Dennis Lloyd
689,90,,Hardaway,Derez De'Shon,2018-02-17,Hardaway Derez De'Shon
186,87,,All On Me,Devin Dawson,2018-01-13,All On Me Devin Dawson
1493,94,,"Woman, Amen",Dierks Bentley,2018-04-14,"Woman, Amen Dierks Bentley"
4399,100,,Burning Man,Dierks Bentley Featuring Brothers Osborne,2018-11-03,Burning Man Dierks Bentley Featuring Brothers Osborne
2183,84,,Welcome To The Party,"Diplo, French Montana & Lil Pump Featuring Zhavia Ward",2018-06-02,"Welcome To The Party Diplo, French Montana & Lil Pump Featuring Zhavia Ward"
7318,19,,Wish Wish,DJ Khaled Featuring Cardi B & 21 Savage,2019-06-01,Wish Wish DJ Khaled Featuring Cardi B & 21 Savage
7356,57,,Jealous,"DJ Khaled Featuring Chris Brown, Lil Wayne & Big Sean",2019-06-01,"Jealous DJ Khaled Featuring Chris Brown, Lil Wayne & Big Sean"
1021,22,,Top Off,"DJ Khaled Featuring JAY Z, Future & B",2018-03-17,"Top Off DJ Khaled Featuring JAY Z, Future & B"
3104,5,,No Brainer,"DJ Khaled Featuring Justin Bieber, Chance The Rapper & Quavo",2018-08-11,"No Brainer DJ Khaled Featuring Justin Bieber, Chance The Rapper & Quavo"
7390,91,,Weather The Storm,DJ Khaled Featuring Meek Mill & Lil Baby,2019-06-01,Weather The Storm DJ Khaled Featuring Meek Mill & Lil Baby
7343,44,,You Stay,"DJ Khaled Featuring Meek Mill, J Balvin, Lil Baby & Jeremih",2019-06-01,"You Stay DJ Khaled Featuring Meek Mill, J Balvin, Lil Baby & Jeremih"
7320,21,,Higher,DJ Khaled Featuring Nipsey Hussle & John Legend,2019-06-01,Higher DJ Khaled Featuring Nipsey Hussle & John Legend
7342,43,,Just Us,DJ Khaled Featuring SZA,2019-06-01,Just Us DJ Khaled Featuring SZA
7351,52,,Celebrate,DJ Khaled Featuring Travis Scott & Post Malone,2019-06-01,Celebrate DJ Khaled Featuring Travis Scott & Post Malone
4026,27,,Taki Taki,"DJ Snake Featuring Selena Gomez, Ozuna & Cardi B",2018-10-13,"Taki Taki DJ Snake Featuring Selena Gomez, Ozuna & Cardi B"
400,1,,God's Plan,Drake,2018-02-03,God's Plan Drake
406,7,,Diplomatic Immunity,Drake,2018-02-03,Diplomatic Immunity Drake
1500,1,,Nice For What,Drake,2018-04-21,Nice For What Drake
2218,19,,I'm Upset,Drake,2018-06-09,I'm Upset Drake
2701,2,,Nonstop,Drake,2018-07-14,Nonstop Drake
2705,6,,In My Feelings,Drake,2018-07-14,In My Feelings Drake
2707,8,,Emotionless,Drake,2018-07-14,Emotionless Drake
2712,13,,Mob Ties,Drake,2018-07-14,Mob Ties Drake
2713,14,,Elevate,Drake,2018-07-14,Elevate Drake
2716,17,,Survival,Drake,2018-07-14,Survival Drake
2717,18,,Can't Take A Joke,Drake,2018-07-14,Can't Take A Joke Drake
2720,21,,8 Out Of 10,Drake,2018-07-14,8 Out Of 10 Drake
2726,27,,Sandra's Rose,Drake,2018-07-14,Sandra's Rose Drake
2727,28,,Summer Games,Drake,2018-07-14,Summer Games Drake
2729,30,,Blue Tint,Drake,2018-07-14,Blue Tint Drake
2731,32,,Jaded,Drake,2018-07-14,Jaded Drake
2735,36,,Is There More,Drake,2018-07-14,Is There More Drake
